flow_name,slot_name,description,required_slots,filler_word_1,filler_word_2,filler_word_3,filler_word_4,filler_word_5,intro_chatbot_response,example_chatbot_response_1,example_chatbot_response_2,example_chatbot_response_3,example_chatbot_response_4,example_chatbot_response_5,examples_user_response_1,examples_user_response_2,examples_user_response_3,examples_user_response_4,examples_user_response_5
intro_flow,confirm_identity,Whether user confirms they are the person the chatbot is trying to reach.,[],Okay then.,Of course.,I see.,I hear you clearly.,"Okay <break time=""0.35s""/> got it.","Hello, This is BOT_NAME from FUNERAL_HOME_NAME. The reason for my call is you had previously signed up to discuss our preplanning services with our team.","Also. am I speaking to USER_NAME?","Just to confirm. am I speaking with USER_NAME?","Also. may I ask if I'm speaking with USER_NAME?","Now, am I speaking with USER_NAME?","Also, is this USER_NAME I'm speaking with?",,,,,
intro_flow,accept_preplanning,Whether user agrees to book a meeting to find more about funeral preplanning.,"[(""confirm_identity"", False)]",Okay then.,Of course.,I see.,I hear you clearly.,"Okay <break time=""0.35s""/> got it.",We apologize for the mix up. I have updated our records.,"Since I have you on the phone, would you be interested in booking an in-person appointment to hear more about our preplanning services?","While we're speaking, would you like to schedule a quick in-person appointment to learn about preplanning options?","Now that we're connected, have you thought about setting an appointment to discuss planning ahead for funeral arrangements?","As long as I have you on the line, would you like to book a time to come in and talk through our preplanning services?","Since we're already talking, may I help you schedule an in-person appointment to go over funeral preplanning?","No, that's not me.","Sorry, you have the wrong person.",I'm not USER_NAME.,I think you called the wrong number.,That's not correct.
intro_flow,accept_appointment,Whether user accepts the appointment by directly saying that,"[(""confirm_identity"", True)]","Okay <break time=""0.35s""/> just a second.","Okay <break time=""0.25s""/> give me a second please.",Give me just a second.,"Okay <break time=""0.25s""/> just a moment.","Alright <break time=""0.25s""/> just a second.",Thank you.,Would you like to come visit us on property?,Would you like to book an in-person appointment?,Am I able to book a time where you can come visit our location?,Would you like to visit our property to discuss this further?,Would setting up an in-person appointment at our location work for you?,"Yes, that's me.",Speaking.,This is USER_NAME.,I am USER_NAME.,That's correct.
intro_flow,offer_rebuttal,Whether the user is persuaded by the rebuttal and shows signs of reconsidering their stance,"[(""accept_appointment"", False), (""accept_preplanning"", False)]","Okay <break time=""0.35s""/> just a second.","Okay <break time=""0.25s""/> give me a second please.",Give me just a second.,"Okay <break time=""0.25s""/> just a moment.","Alright <break time=""0.25s""/> just a second.",,REBUTTAL_ANSWER,REBUTTAL_ANSWER,REBUTTAL_ANSWER,REBUTTAL_ANSWER,REBUTTAL_ANSWER,,,,,
resignation_flow,user_wants_human_transfer,"Whether user agrees to be transfered to a live human (responds to ""Would you like to be transferred to a live human?"" type of question)",[],Okay then.,Of course.,I see.,I hear you clearly.,"Okay <break time=""0.35s""/> got it.",I have a team member available to discuss this with you now if you would prefer.,Would you like for me to transfer you?,Would you have time to be transferred?,Should I transfer you now?,Would you have a minute to be transferred?,Would it be helpful if I transferred you now?,"No, I'm not interested.",I'd rather not.,"Sorry, I'm not interested.",I don't want to continue.,Please stop.
resignation_flow,human_handoff,Confirmation message when user agreed to be transfered to a live human,"[(""user_wants_human_transfer"", True)]",,,,,,,Transferring you to one of our team members now. Please hold for just a moment.,I'll connect you with a team member right away. Please stay on the line.,Connecting you to a human representative now. It'll just be a brief moment.,I'm transferring your call to a team member. Please hold briefly.,One moment while I connect you with a live representative.,Can I talk to a real person?,I want to speak to someone.,Connect me to an agent.,Is there a human I can talk to?,I need a live representative.
resignation_flow,attend_seminar,"Whether user is interested in attending upcoming seminar (responds to ""Are you interested in attending an upcoming seminar?"" type of question)","[(""user_wants_human_transfer"", False)]",Okay then.,Of course.,I see.,I hear you clearly.,"Alright <break time=""0.35s""/> got it.",,Are you interested in attending an upcoming seminar?,Would you like to join one of our upcoming seminars?,Do you have any interest in participating in a seminar we're hosting?,Would attending one of our seminars be of interest to you?,Would you consider coming to one of our seminars in the future?,"No, that's not necessary.",I don't need to talk to someone.,I'll stick with you.,No human needed.,I'm fine with this.
resignation_flow,accept_seminar_list,"Final confirmation after user has agreed to join the seminar which ends or closes the topic (e.g., goodbye, thanks, that’s all).","[(""attend_seminar"", True)]",Okay then.,Of course.,I see.,I hear you clearly.,"Okay <break time=""0.35s""/> got it.",Thank you for your interest. You'll be added to our seminar marketing list.,What else would you like to ask about?,Is there anything else I can help you with?,What else would you like to know about?,What are the other topics you'd like to discuss?,What else can I assist you with today?,I want to attend a seminar.,Can I join the seminar?,Sign me up for the seminar.,I'd like to register for a seminar.,Add me to the seminar.
resignation_flow,decline_seminar,Confirmation message when the user does not want to attend the upcoming seminar or be added to the seminar marketing list,"[(""attend_seminar"", False)]",Okay then.,Of course.,I see.,I hear you clearly.,"Alright <break time=""0.35s""/> got it.",Feel free to contact us if you change your mind in the future.,What else would you like to ask about?,Is there anything else, I can help you with?,What else would you like to know about?,What are the other topics you'd like to discuss?,What else can I assist you with today?,"No, I don't want to attend.",I'm not interested in seminars.,No seminar for me.,I'll skip it.,Not this time.
resignation_flow,resignation_goodbye,Whether conversation ends with goodbye message,"[(""decline_seminar"", True), (""decline_seminar"", False), (""accept_seminar_list"", True), (""accept_seminar_list"", False)]",,,,,,,"Thank you for your time. Goodbye, and please let us know if you need any further assistance in the future.","Thank you for your time today. Goodbye, and remember we're here if you need anything else.",Thank you for speaking with me. Goodbye and don't hesitate to reach out if you need further help.,Thank you for your time. Goodbye and please contact us if you require any assistance later.,Thank you for your time today. Goodbye and please remember we're available if you need any help in the future.,Goodbye.,"Thanks, that's all.",Have a nice day.,Talk to you later.,Bye.
booking_flow,slot_unavailable,Inform user that a selected time slot is no longer available,[],,,,,,,"I'm sorry, that time slot just became unavailable. Let's find another one.","Apologies, but that slot was just taken. Could we look for another time?",It looks like that appointment time is no longer free. Shall we try another?,,,,,,,
,booking_flow,,,"Okay <break time=""0.35s""/> just a second.","Okay <break time=""0.25s""/> give me a second please.",Give me just a second.,"Okay <break time=""0.25s""/> just a moment.","Alright <break time=""0.25s""/> just a second.",,,,,,,,,,,
,booking_flow_completed,,,"Okay <break time=""0.35s""/> thank you.","Alright <break time=""0.35s""/> thank you.",Okay then.,"Okay <break time=""0.35s""/> got it.","Alright <break time=""0.35s""/> got it.",,,,,,,,,,,
,repetition_flow,,,"I apologize <break time=""0.25s""/> I did not get that.","Apologies <break time=""0.25s""/> something cut off.","I'm sorry <break time=""0.25s""/> I didn't understand that clearly.","I apologize <break time=""0.25s""/> I didn't quite catch what you said.","I'm sorry <break time=""0.25s""/> I didn't hear that clearly.",,,,,,,,,,,
,question_flow,,,That's a good question.,"Okay <break time=""0.20s""/> just a second","Okay <break time=""0.20s""/> give me a second.",I appreciate you asking.,I can help you with that.,,,,,,,,,,,
,question_flow_completed,,,That's a good question.,"Okay <break time=""0.20s""/> just a second","Okay <break time=""0.25s""/> give me a second.",I appreciate you asking.,I can help you with that.,,,,,,,,,,,
