name_id,name,examples_user_response_1,examples_user_response_2,examples_user_response_3,examples_user_response_4,examples_user_response_5,example_chatbot_response_1,example_chatbot_response_2,example_chatbot_response_3,example_chatbot_response_4,example_chatbot_response_5
do_not_call_me_again,Do not call me again,Put me on the do not call list.,Do not call me again.,Do not call this number again.,Please stop calling me.,I don't want to receive these calls.,We will place your number on the do not call list. Goodbye.,,,,
are_you_a_real_person,Are you a real person?,Are you a real person?,Are you a human?,Who are you?,Who is calling?,Are you a bot?,I am an AI assistant designed to help make sure you get the right information for your planning options as well as help getting you connected with the right team member.,,,,
how_did_you_get_my_number,How did you get my number?,How did you get this number?,Who gave you this number?,How did you get my phone number?,Where did you get my contact information?,Who provided you with my number?,We receive our customer's information through several different avenues and we only contact those who requested to hear more about our pre-planning services for celebrations of life. We are contacting you in order to help you plan your own celebration & ensure you and your loved ones are secure in your future.,,,,
what_is_your_address_or_location,What is your address or location?,What is your address?,Where is the property?,Where are you located?,Where are you calling from?,What property?,", <break time=""0.25s""/>Our address is...<break time=""0.25s""/>, ADDRESS.",,,,
pricing_request,Pricing request,How much does a funeral/cremation cost?,What is the typical cost for a funeral/cremation?,What is your price for a funeral/cremation?,What cost am I looking at?,What are your rates?,We see anywhere from $2500 to as much as you want to celebrate your life.,,,,
payment_plans,Payment plans,Is financial assistance available for funeral expenses?,What financial assistance or payment plan options do you offer?,Are payment plans available?,Do you offer financing?,Can I pay in installments?,Yes we can determine a financial assistance plan.,,,,
why_is_inperson_appointment_needed,Why is in-person appointment needed?,Why do I need to come in-person?,Why do I have to come see you for this?,Is there a reason I need to come in-person?,What is the appointment for?,Why can't I just call you?,We find that it helps our customers visualize what they want better when they are able to see our beautiful location & the amenities we provide.,,,,
what_is_more_expensive_a_cremation_or_a_funeral,"What is more expensive, a cremation or a funeral?",Which costs more - burial or cremation?,What's the price difference between cremation and burial?,Is cremation cheaper than a traditional funeral?,Which option is more affordable - burial or cremation?,What's the cost comparison between the two - burial and cremation?,Cremations and Burials tend to be the same from a price perspective. It often comes down to how you would prefer to be laid to rest which my recommendation would be to come visit us to see which piece speaks to you & how you would like to be laid to rest.,,,,
what_is_included_in_a_traditional_funeral_service,What is included in a funeral service?,What services do you offer?,What's covered in that price?,What am I going to be doing?,What's included in your packages?,What can I get for the price?,"We guide families through every step, from transportation and preparation to the ceremony and burial. A traditional service typically includes a viewing, a formal ceremony, and a graveside service. We also provide memorial items and tribute options to personalize the experience.",,,,
do_you_offer_cremation_services,Do you offer cremation services?,Do you do cremations?,Can you handle cremation?,Do you provide cremation?,Is cremation available?,Can I choose cremation with you?,"Yes, we do. We offer both direct cremation and cremation with a full service, including a viewing or memorial. You can also choose from a wide range of urns and final placement options.",,,,
